unifs_originalFP;unifs_ecceLN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
9;15;_;false;Neg (Var (S (O)))
7;11;false;_;Neg (Var (O))
12;17;_;true;Neg (Neg (Var (S (O))))
10;13;true;_;Neg (Neg (Var (O)))
15;19;_;false;Neg (Neg (Neg (Var (S (O)))))
13;15;false;_;Neg (Neg (Neg (Var (O))))
18;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
16;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
19;19;false;_;Neg (Neg (Neg (Neg (Neg (Var (O))))))
24;25;true;_;Neg (Neg (Neg (Neg (Conj (Var (O), Var (O))))))
23;27;false;false;Neg (Neg (Neg (Disj (Var (O), Var (S (O))))))
21;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
20;33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
20;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
18;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
22;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
20;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
23;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
30;37;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O))))))
28;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
20;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
18;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
23;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
24;25;true;_;Neg (Neg (Conj (Var (O), Neg (Neg (Var (O))))))
30;37;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O))))))
28;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
28;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
26;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
23;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
28;33;true;true;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (S (O)))))
26;29;true;_;Neg (Neg (Conj (Conj (Var (O), Var (O)), Var (O))))
19;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
17;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
20;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
23;27;false;false;Neg (Disj (Var (S (O)), Neg (Neg (Var (O)))))
28;33;true;false;Neg (Disj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
27;35;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
17;23;false;false;Neg (Disj (Var (O), Var (S (O))))
15;19;false;_;Neg (Disj (Var (O), Var (O)))
20;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
23;27;false;false;Neg (Disj (Var (O), Neg (Neg (Var (S (O))))))
21;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
30;37;false;true;Neg (Disj (Var (O), Neg (Conj (Var (S (O)), Var (S (O))))))
27;35;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (S (O)))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (S (O)), Var (O))))
25;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
23;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
25;39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
25;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
23;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
20;25;false;true;Neg (Disj (Neg (Var (S (O))), Var (O)))
20;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
23;27;true;true;Neg (Disj (Neg (Var (O)), Neg (Var (S (O)))))
21;23;true;_;Neg (Disj (Neg (Var (O)), Neg (Var (O))))
19;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
17;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
17;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
17;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
22;41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
22;41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
20;37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
20;37;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
17;31;true;false;Neg (Conj (Var (O), Var (S (O))))
17;31;false;true;Neg (Conj (Var (O), Var (S (O))))
17;31;false;false;Neg (Conj (Var (O), Var (S (O))))
15;27;false;_;Neg (Conj (Var (O), Var (O)))
20;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
20;37;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
18;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
18;33;false;_;Neg (Conj (Var (O), Neg (Var (O))))
25;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
23;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
22;39;_;true;Neg (Conj (Neg (Var (S (O))), Var (S (O))))
20;35;true;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;35;false;true;Neg (Conj (Neg (Var (S (O))), Var (O)))
20;35;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;35;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
20;35;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
18;31;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
18;31;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
21;36;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
25;43;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
16;33;_;true;Disj (Var (S (O)), Var (S (O)))
14;29;true;true;Disj (Var (S (O)), Var (O))
14;29;true;false;Disj (Var (S (O)), Var (O))
14;28;false;true;Disj (Var (S (O)), Var (O))
19;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
19;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
17;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
17;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
17;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
20;41;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
20;40;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
22;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
22;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
26;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
24;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
24;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
22;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
14;29;true;true;Disj (Var (O), Var (S (O)))
14;28;true;false;Disj (Var (O), Var (S (O)))
14;29;false;true;Disj (Var (O), Var (S (O)))
12;25;true;_;Disj (Var (O), Var (O))
17;34;true;true;Disj (Var (O), Neg (Var (S (O))))
17;35;true;false;Disj (Var (O), Neg (Var (S (O))))
17;35;false;false;Disj (Var (O), Neg (Var (S (O))))
15;30;true;_;Disj (Var (O), Neg (Var (O)))
15;31;false;_;Disj (Var (O), Neg (Var (O)))
18;37;true;_;Disj (Var (O), Neg (Neg (Var (O))))
22;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
20;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
24;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
24;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
22;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
22;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
22;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
22;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
20;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
17;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
17;37;false;false;Disj (Neg (Var (O)), Var (S (O)))
15;33;true;_;Disj (Neg (Var (O)), Var (O))
15;33;false;_;Disj (Neg (Var (O)), Var (O))
24;45;true;true;Disj (Conj (Var (O), Var (S (O))), Var (S (O)))
22;41;true;true;Disj (Conj (Var (O), Var (S (O))), Var (O))
22;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
22;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
20;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
25;46;true;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
23;41;true;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
30;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (S (O)), Var (O)))
30;54;true;true;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (S (O))))
28;50;true;_;Disj (Conj (Var (O), Var (O)), Conj (Var (O), Var (O)))
16;25;_;true;Conj (Var (S (O)), Var (S (O)))
14;21;true;true;Conj (Var (S (O)), Var (O))
17;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
22;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
20;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
23;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
30;37;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (S (O))))))
28;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
25;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
27;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
25;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
26;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
24;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
24;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
24;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
22;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
26;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
24;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
27;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
30;37;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Neg (Var (O)))))
36;49;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
24;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
22;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
30;37;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (S (O))))))
28;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
34;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
32;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
40;49;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
38;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
27;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
28;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
37;47;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Conj (Var (S (O)), Var (S (O)))))
32;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (S (O))), Var (O)))
32;41;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (S (O))))
30;37;true;true;Conj (Var (S (O)), Conj (Conj (Var (O), Var (O)), Var (O)))
14;21;true;true;Conj (Var (O), Var (S (O)))
12;17;true;_;Conj (Var (O), Var (O))
17;23;true;false;Conj (Var (O), Neg (Var (S (O))))
20;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
18;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
23;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
24;25;true;_;Conj (Var (O), Neg (Neg (Neg (Neg (Var (O))))))
30;37;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (S (O))))))
28;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (S (O)), Var (O)))))
28;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
26;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
27;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
28;33;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Neg (Var (O)))))
28;33;true;false;Conj (Var (O), Neg (Disj (Neg (Var (O)), Var (S (O)))))
27;43;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
25;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
25;39;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
28;43;true;true;Conj (Var (O), Neg (Conj (Neg (Var (O)), Var (S (O)))))
