unifs_originalLN;unifs_ecceLN;var0;var1;formula
6;13;_;true;Var (S (O))
4;9;true;_;Var (O)
10;15;_;false;Neg (Var (S (O)))
8;11;false;_;Neg (Var (O))
14;17;_;true;Neg (Neg (Var (S (O))))
12;13;true;_;Neg (Neg (Var (O)))
18;19;_;false;Neg (Neg (Neg (Var (S (O)))))
16;15;false;_;Neg (Neg (Neg (Var (O))))
22;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
20;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
30;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
28;33;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;33;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
28;32;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
26;29;true;_;Neg (Neg (Disj (Var (O), Var (O))))
27;29;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
25;25;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
29;27;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
36;33;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
25;25;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
23;21;true;_;Neg (Neg (Conj (Var (O), Var (O))))
29;27;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
36;33;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
34;29;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;27;false;true;Neg (Neg (Conj (Neg (Var (O)), Var (S (O)))))
26;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
24;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
28;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
24;23;false;false;Neg (Disj (Var (O), Var (S (O))))
22;19;false;_;Neg (Disj (Var (O), Var (O)))
28;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
30;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
36;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
35;39;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
35;39;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
33;35;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
28;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
23;35;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
21;31;true;false;Neg (Conj (Var (S (O)), Var (O)))
21;31;false;true;Neg (Conj (Var (S (O)), Var (O)))
21;31;false;false;Neg (Conj (Var (S (O)), Var (O)))
27;41;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
27;41;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
25;37;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;37;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
25;37;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
34;50;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;50;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
34;50;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
32;46;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;46;false;true;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
32;46;false;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
21;31;true;false;Neg (Conj (Var (O), Var (S (O))))
21;31;false;true;Neg (Conj (Var (O), Var (S (O))))
21;31;false;false;Neg (Conj (Var (O), Var (S (O))))
19;27;false;_;Neg (Conj (Var (O), Var (O)))
25;37;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;37;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
25;37;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
23;33;true;_;Neg (Conj (Var (O), Neg (Var (O))))
23;33;false;_;Neg (Conj (Var (O), Neg (Var (O))))
32;46;true;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
32;46;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
32;46;false;false;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
30;42;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
25;35;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
25;35;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
25;35;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
23;31;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
23;31;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
27;36;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
32;43;false;true;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
32;43;false;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
30;39;false;_;Neg (Conj (Conj (Var (O), Var (O)), Var (O)))
22;33;_;true;Disj (Var (S (O)), Var (S (O)))
20;29;true;true;Disj (Var (S (O)), Var (O))
20;29;true;false;Disj (Var (S (O)), Var (O))
20;28;false;true;Disj (Var (S (O)), Var (O))
26;38;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
26;39;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
24;34;true;true;Disj (Var (S (O)), Neg (Var (O)))
24;35;false;true;Disj (Var (S (O)), Neg (Var (O)))
24;35;false;false;Disj (Var (S (O)), Neg (Var (O)))
28;41;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
28;40;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
34;47;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
34;47;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
34;47;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
35;52;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
33;48;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
33;47;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
33;48;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;47;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
31;44;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
31;44;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
31;43;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
20;29;true;true;Disj (Var (O), Var (S (O)))
20;28;true;false;Disj (Var (O), Var (S (O)))
20;29;false;true;Disj (Var (O), Var (S (O)))
18;25;true;_;Disj (Var (O), Var (O))
24;34;true;true;Disj (Var (O), Neg (Var (S (O))))
24;35;true;false;Disj (Var (O), Neg (Var (S (O))))
24;35;false;false;Disj (Var (O), Neg (Var (S (O))))
22;30;true;_;Disj (Var (O), Neg (Var (O)))
22;31;false;_;Disj (Var (O), Neg (Var (O)))
26;37;true;_;Disj (Var (O), Neg (Neg (Var (O))))
34;48;true;false;Disj (Var (O), Disj (Var (O), Var (S (O))))
32;43;true;_;Disj (Var (O), Disj (Var (O), Var (O)))
33;48;true;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;47;true;false;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
33;48;false;true;Disj (Var (O), Conj (Var (S (O)), Var (S (O))))
31;44;true;true;Disj (Var (O), Conj (Var (S (O)), Var (O)))
31;43;true;false;Disj (Var (O), Conj (Var (S (O)), Var (O)))
31;44;true;true;Disj (Var (O), Conj (Var (O), Var (S (O))))
31;43;true;false;Disj (Var (O), Conj (Var (O), Var (S (O))))
29;40;true;_;Disj (Var (O), Conj (Var (O), Var (O)))
24;37;false;true;Disj (Neg (Var (O)), Var (S (O)))
24;37;false;false;Disj (Neg (Var (O)), Var (S (O)))
22;33;true;_;Disj (Neg (Var (O)), Var (O))
22;33;false;_;Disj (Neg (Var (O)), Var (O))
31;41;true;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
31;40;true;false;Disj (Conj (Var (O), Var (O)), Var (S (O)))
31;41;false;true;Disj (Conj (Var (O), Var (O)), Var (S (O)))
29;37;true;_;Disj (Conj (Var (O), Var (O)), Var (O))
35;46;false;false;Disj (Conj (Var (O), Var (O)), Neg (Var (S (O))))
33;42;false;_;Disj (Conj (Var (O), Var (O)), Neg (Var (O)))
19;25;_;true;Conj (Var (S (O)), Var (S (O)))
17;21;true;true;Conj (Var (S (O)), Var (O))
21;23;false;true;Conj (Var (S (O)), Neg (Var (O)))
27;29;_;true;Conj (Var (S (O)), Neg (Neg (Var (S (O)))))
25;25;true;true;Conj (Var (S (O)), Neg (Neg (Var (O))))
29;27;false;true;Conj (Var (S (O)), Neg (Neg (Neg (Var (O)))))
36;33;true;true;Conj (Var (S (O)), Neg (Neg (Conj (Var (O), Var (O)))))
35;31;false;true;Conj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
34;43;false;true;Conj (Var (S (O)), Neg (Conj (Var (S (O)), Var (O))))
32;39;false;true;Conj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
35;45;_;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (S (O))))
33;41;true;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
33;40;false;true;Conj (Var (S (O)), Disj (Var (S (O)), Var (O)))
33;41;true;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;41;false;true;Conj (Var (S (O)), Disj (Var (O), Var (S (O))))
31;37;true;true;Conj (Var (S (O)), Disj (Var (O), Var (O)))
32;37;_;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
30;33;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Var (O)))
34;35;false;true;Conj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
43;45;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (S (O)), Conj (Var (O), Var (O))))
30;33;true;true;Conj (Var (S (O)), Conj (Var (O), Var (S (O))))
28;29;true;true;Conj (Var (S (O)), Conj (Var (O), Var (O)))
36;33;true;true;Conj (Var (S (O)), Conj (Var (O), Neg (Neg (Var (O)))))
43;45;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
39;37;true;true;Conj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
34;35;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Var (S (O))))
36;33;false;true;Conj (Var (S (O)), Conj (Neg (Var (O)), Neg (Var (O))))
17;21;true;true;Conj (Var (O), Var (S (O)))
15;17;true;_;Conj (Var (O), Var (O))
21;23;true;false;Conj (Var (O), Neg (Var (S (O))))
25;25;true;true;Conj (Var (O), Neg (Neg (Var (S (O)))))
23;21;true;_;Conj (Var (O), Neg (Neg (Var (O))))
29;27;true;false;Conj (Var (O), Neg (Neg (Neg (Var (S (O))))))
36;33;true;true;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (S (O))))))
34;29;true;_;Conj (Var (O), Neg (Neg (Conj (Var (O), Var (O)))))
37;35;true;false;Conj (Var (O), Neg (Disj (Var (S (O)), Var (S (O)))))
34;43;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (S (O)))))
32;39;true;false;Conj (Var (O), Neg (Conj (Var (S (O)), Var (O))))
32;39;true;false;Conj (Var (O), Neg (Conj (Var (O), Var (S (O)))))
33;41;true;true;Conj (Var (O), Disj (Var (S (O)), Var (S (O))))
31;37;true;true;Conj (Var (O), Disj (Var (S (O)), Var (O)))
31;37;true;false;Conj (Var (O), Disj (Var (S (O)), Var (O)))
35;42;true;true;Conj (Var (O), Disj (Var (S (O)), Neg (Var (O))))
31;37;true;true;Conj (Var (O), Disj (Var (O), Var (S (O))))
31;36;true;false;Conj (Var (O), Disj (Var (O), Var (S (O))))
29;33;true;_;Conj (Var (O), Disj (Var (O), Var (O)))
33;38;true;_;Conj (Var (O), Disj (Var (O), Neg (Var (O))))
30;33;true;true;Conj (Var (O), Conj (Var (S (O)), Var (S (O))))
28;29;true;true;Conj (Var (O), Conj (Var (S (O)), Var (O)))
36;33;true;true;Conj (Var (O), Conj (Var (S (O)), Neg (Neg (Var (O)))))
43;45;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (S (O)))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (S (O)), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (S (O)))))
39;37;true;true;Conj (Var (O), Conj (Var (S (O)), Conj (Var (O), Var (O))))
28;29;true;true;Conj (Var (O), Conj (Var (O), Var (S (O))))
26;25;true;_;Conj (Var (O), Conj (Var (O), Var (O)))
32;31;true;false;Conj (Var (O), Conj (Var (O), Neg (Var (S (O)))))
36;33;true;true;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (S (O))))))
34;29;true;_;Conj (Var (O), Conj (Var (O), Neg (Neg (Var (O)))))
42;45;true;true;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
42;45;true;false;Conj (Var (O), Conj (Var (O), Disj (Var (S (O)), Var (O))))
40;41;true;_;Conj (Var (O), Conj (Var (O), Disj (Var (O), Var (O))))
41;41;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
39;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (S (O)), Var (O))))
39;37;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O)))))
37;33;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O))))
43;39;true;false;Conj (Var (O), Conj (Var (O), Conj (Var (O), Neg (Var (S (O))))))
50;45;true;true;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (S (O))))))
48;41;true;_;Conj (Var (O), Conj (Var (O), Conj (Var (O), Conj (Var (O), Var (O)))))
37;33;true;_;Conj (Var (O), Conj (Conj (Var (O), Var (O)), Var (O)))
21;23;true;false;Conj (Neg (Var (S (O))), Var (O))
21;23;false;true;Conj (Neg (Var (O)), Var (S (O)))
25;25;false;false;Conj (Neg (Var (O)), Neg (Var (S (O))))
23;21;false;_;Conj (Neg (Var (O)), Neg (Var (O)))
29;27;false;true;Conj (Neg (Var (O)), Neg (Neg (Var (S (O)))))
37;29;false;_;Conj (Neg (Var (O)), Neg (Disj (Var (O), Var (O))))
