unifs_originalLP;unifs_consPDFP;var0;var1;formula
9;5;_;true;Var (S (O))
6;3;true;_;Var (O)
14;6;_;false;Neg (Var (S (O)))
11;4;false;_;Neg (Var (O))
19;7;_;true;Neg (Neg (Var (S (O))))
16;5;true;_;Neg (Neg (Var (O)))
24;8;_;false;Neg (Neg (Neg (Var (S (O)))))
21;6;false;_;Neg (Neg (Neg (Var (O))))
29;9;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;7;true;_;Neg (Neg (Neg (Neg (Var (O)))))
33;10;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
36;12;true;false;Neg (Neg (Neg (Conj (Var (S (O)), Var (O)))))
36;12;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
33;10;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
34;13;_;true;Neg (Neg (Disj (Var (S (O)), Var (S (O)))))
31;11;true;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;11;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;11;false;true;Neg (Neg (Disj (Var (S (O)), Var (O))))
31;11;true;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;11;true;false;Neg (Neg (Disj (Var (O), Var (S (O)))))
31;11;false;true;Neg (Neg (Disj (Var (O), Var (S (O)))))
28;9;true;_;Neg (Neg (Disj (Var (O), Var (O))))
40;13;true;_;Neg (Neg (Disj (Var (O), Conj (Var (O), Var (O)))))
34;13;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;11;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;12;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
43;15;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;11;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;9;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;12;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
40;13;true;_;Neg (Neg (Conj (Var (O), Disj (Var (O), Var (O)))))
43;15;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;15;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;13;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;12;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;10;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;11;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
38;14;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
38;14;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;10;false;false;Neg (Disj (Var (O), Var (S (O))))
23;8;false;_;Neg (Disj (Var (O), Var (O)))
31;11;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
33;10;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;14;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;12;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
38;14;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;14;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;14;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
38;14;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;12;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
40;13;false;_;Neg (Disj (Var (O), Conj (Var (O), Neg (Var (O)))))
31;11;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
29;12;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;10;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;10;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;10;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;13;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;13;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;11;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;11;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;11;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;12;true;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
38;14;true;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;14;false;true;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;14;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (O))))
38;14;true;false;Neg (Conj (Var (S (O)), Conj (Var (O), Var (O))))
26;10;true;false;Neg (Conj (Var (O), Var (S (O))))
26;10;false;true;Neg (Conj (Var (O), Var (S (O))))
26;10;false;false;Neg (Conj (Var (O), Var (S (O))))
23;8;false;_;Neg (Conj (Var (O), Var (O)))
31;11;true;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;11;false;true;Neg (Conj (Var (O), Neg (Var (S (O)))))
31;11;false;false;Neg (Conj (Var (O), Neg (Var (S (O)))))
28;9;true;_;Neg (Conj (Var (O), Neg (Var (O))))
28;9;false;_;Neg (Conj (Var (O), Neg (Var (O))))
36;12;false;true;Neg (Conj (Var (O), Neg (Neg (Var (S (O))))))
33;10;false;_;Neg (Conj (Var (O), Neg (Neg (Var (O)))))
40;13;true;_;Neg (Conj (Var (O), Neg (Conj (Var (O), Var (O)))))
41;16;true;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
41;16;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (S (O)))))
38;14;false;true;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;14;false;false;Neg (Conj (Var (O), Disj (Var (S (O)), Var (O))))
38;14;false;false;Neg (Conj (Var (O), Disj (Var (O), Var (S (O)))))
35;12;false;_;Neg (Conj (Var (O), Disj (Var (O), Var (O))))
41;16;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;14;true;false;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
38;14;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Var (O))))
43;15;false;true;Neg (Conj (Var (O), Conj (Var (S (O)), Neg (Var (O)))))
38;14;false;true;Neg (Conj (Var (O), Conj (Var (O), Var (S (O)))))
35;12;false;_;Neg (Conj (Var (O), Conj (Var (O), Var (O))))
31;11;true;true;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;11;true;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
31;11;false;false;Neg (Conj (Neg (Var (O)), Var (S (O))))
28;9;true;_;Neg (Conj (Neg (Var (O)), Var (O)))
28;9;false;_;Neg (Conj (Neg (Var (O)), Var (O)))
36;12;true;false;Neg (Conj (Neg (Var (O)), Neg (Var (S (O)))))
33;10;true;_;Neg (Conj (Neg (Var (O)), Neg (Var (O))))
43;15;true;true;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (S (O)))))
40;13;true;_;Neg (Conj (Neg (Var (O)), Conj (Var (O), Var (O))))
38;14;true;false;Neg (Conj (Conj (Var (O), Var (O)), Var (S (O))))
24;11;_;true;Disj (Var (S (O)), Var (S (O)))
21;9;true;true;Disj (Var (S (O)), Var (O))
21;9;true;false;Disj (Var (S (O)), Var (O))
21;9;false;true;Disj (Var (S (O)), Var (O))
29;12;_;true;Disj (Var (S (O)), Neg (Var (S (O))))
29;12;_;false;Disj (Var (S (O)), Neg (Var (S (O))))
26;10;true;true;Disj (Var (S (O)), Neg (Var (O)))
26;10;false;true;Disj (Var (S (O)), Neg (Var (O)))
26;10;false;false;Disj (Var (S (O)), Neg (Var (O)))
34;13;_;true;Disj (Var (S (O)), Neg (Neg (Var (S (O)))))
31;11;true;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;11;true;false;Disj (Var (S (O)), Neg (Neg (Var (O))))
31;11;false;true;Disj (Var (S (O)), Neg (Neg (Var (O))))
38;14;false;true;Disj (Var (S (O)), Neg (Disj (Var (O), Var (O))))
38;14;true;true;Disj (Var (S (O)), Neg (Conj (Var (O), Var (O))))
36;15;true;true;Disj (Var (S (O)), Disj (Var (S (O)), Var (O)))
36;15;true;true;Disj (Var (S (O)), Disj (Var (O), Var (S (O))))
33;13;true;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;13;true;false;Disj (Var (S (O)), Disj (Var (O), Var (O)))
33;13;false;true;Disj (Var (S (O)), Disj (Var (O), Var (O)))
39;17;_;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (S (O))))
36;15;true;true;Disj (Var (S (O)), Conj (Var (S (O)), Var (O)))
41;16;false;true;Disj (Var (S (O)), Conj (Var (S (O)), Neg (Var (O))))
36;15;true;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
36;15;false;true;Disj (Var (S (O)), Conj (Var (O), Var (S (O))))
33;13;true;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;13;true;false;Disj (Var (S (O)), Conj (Var (O), Var (O)))
33;13;false;true;Disj (Var (S (O)), Conj (Var (O), Var (O)))
48;19;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (S (O)))))
45;17;true;true;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
45;17;true;false;Disj (Var (S (O)), Conj (Var (O), Conj (Var (O), Var (O))))
21;9;true;true;Disj (Var (O), Var (S (O)))
21;9;true;false;Disj (Var (O), Var (S (O)))
21;9;false;true;Disj (Var (O), Var (S (O)))
18;7;true;_;Disj (Var (O), Var (O))
26;10;true;true;Disj (Var (O), Neg (Var (S (O))))
26;10;true;false;Disj (Var (O), Neg (Var (S (O))))
26;10;false;false;Disj (Var (O), Neg (Var (S (O))))
23;8;true;_;Disj (Var (O), Neg (Var (O)))
23;8;false;_;Disj (Var (O), Neg (Var (O)))
31;11;true;true;Disj (Var (O), Neg (Neg (Var (S (O)))))
31;11;true;false;Disj (Var (O), Neg (Neg (Var (S (O)))))
