unifs_originalLP;unifs_ecceFN;var0;var1;formula
9;13;_;true;Var (S (O))
6;9;true;_;Var (O)
14;15;_;false;Neg (Var (S (O)))
11;11;false;_;Neg (Var (O))
19;17;_;true;Neg (Neg (Var (S (O))))
16;13;true;_;Neg (Neg (Var (O)))
24;19;_;false;Neg (Neg (Neg (Var (S (O)))))
21;15;false;_;Neg (Neg (Neg (Var (O))))
29;21;_;true;Neg (Neg (Neg (Neg (Var (S (O))))))
26;17;true;_;Neg (Neg (Neg (Neg (Var (O)))))
33;23;false;_;Neg (Neg (Neg (Disj (Var (O), Var (O)))))
36;30;true;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
36;30;false;true;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
36;30;false;false;Neg (Neg (Neg (Conj (Var (O), Var (S (O))))))
33;26;false;_;Neg (Neg (Neg (Conj (Var (O), Var (O)))))
31;35;true;false;Neg (Neg (Disj (Var (S (O)), Var (O))))
34;30;_;true;Neg (Neg (Conj (Var (S (O)), Var (S (O)))))
31;26;true;true;Neg (Neg (Conj (Var (S (O)), Var (O))))
36;28;false;true;Neg (Neg (Conj (Var (S (O)), Neg (Var (O)))))
43;35;true;true;Neg (Neg (Conj (Var (S (O)), Conj (Var (O), Var (O)))))
31;26;true;true;Neg (Neg (Conj (Var (O), Var (S (O)))))
28;22;true;_;Neg (Neg (Conj (Var (O), Var (O))))
36;28;true;false;Neg (Neg (Conj (Var (O), Neg (Var (S (O))))))
43;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (S (O)), Var (O)))))
43;35;true;true;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (S (O))))))
40;31;true;_;Neg (Neg (Conj (Var (O), Conj (Var (O), Var (O)))))
29;27;_;false;Neg (Disj (Var (S (O)), Var (S (O))))
26;23;false;false;Neg (Disj (Var (S (O)), Var (O)))
31;25;true;false;Neg (Disj (Var (S (O)), Neg (Var (O))))
38;31;false;false;Neg (Disj (Var (S (O)), Disj (Var (O), Var (O))))
41;38;true;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
41;38;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (S (O)))))
38;34;false;false;Neg (Disj (Var (S (O)), Conj (Var (O), Var (O))))
26;23;false;false;Neg (Disj (Var (O), Var (S (O))))
23;19;false;_;Neg (Disj (Var (O), Var (O)))
31;25;false;true;Neg (Disj (Var (O), Neg (Var (S (O)))))
33;23;false;_;Neg (Disj (Var (O), Neg (Neg (Var (O)))))
38;31;false;false;Neg (Disj (Var (O), Disj (Var (O), Var (S (O)))))
35;27;false;_;Neg (Disj (Var (O), Disj (Var (O), Var (O))))
41;38;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (S (O)))))
38;34;false;true;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;34;false;false;Neg (Disj (Var (O), Conj (Var (S (O)), Var (O))))
38;34;false;true;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
38;34;false;false;Neg (Disj (Var (O), Conj (Var (O), Var (S (O)))))
35;30;false;_;Neg (Disj (Var (O), Conj (Var (O), Var (O))))
31;25;true;false;Neg (Disj (Neg (Var (O)), Var (S (O))))
29;30;_;false;Neg (Conj (Var (S (O)), Var (S (O))))
26;26;true;false;Neg (Conj (Var (S (O)), Var (O)))
26;26;false;true;Neg (Conj (Var (S (O)), Var (O)))
26;26;false;false;Neg (Conj (Var (S (O)), Var (O)))
34;32;_;true;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
34;32;_;false;Neg (Conj (Var (S (O)), Neg (Var (S (O)))))
31;28;true;true;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;28;true;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
31;28;false;false;Neg (Conj (Var (S (O)), Neg (Var (O))))
36;30;false;false;Neg (Conj (Var (S (O)), Neg (Neg (Var (O)))))
43;37;true;false;Neg (Conj (Var (S (O)), Neg (Conj (Var (O), Var (O)))))
41;38;false;false;Neg (Conj (Var (S (O)), Disj (Var (O), Var (S (O)))))
